,Unnamed: 0,mood,arousal,valence,activity,screen,calls,sms,builtin,communication,entertainment,finance,game,office,other,social,travel,unknown,utilities,weather
40,2014-04-26,6.0,-0.5,0.25,0.047178819444444485,702.6440005302428,0.0,0.0,276.46000000000004,156.572,0.0,0,0,0.0,29.159000000000002,237.62400000000002,0.0,0.0,0.0,0
41,2014-04-27,6.0,-0.8333333333333334,0.6666666666666666,0.00542983716475096,2228.388000011444,0.0,3.0,100.223,704.7230000000002,835.74,0,0,0.0,34.178000000000004,700.6910000000001,0.0,0.0,0.0,0
42,2014-04-28,5.8,-0.8,0.6,0.02225241545893721,864.7580003738399,0.0,0.0,127.95499999999998,122.743,109.162,0,0,0.0,45.431,461.77599999999984,0.0,0.0,0.0,0
43,2014-04-29,5.75,-0.25,0.25,0.03099614845938376,2025.4379999637601,0.0,0.0,21.515,1157.1589999999999,111.408,0,0,0.0,39.375,694.2059999999999,0.0,0.0,0.0,0
44,2014-04-30,6.666666666666668,-0.5,1.0,0.034825039929764996,3999.000998735421,0.0,0.0,38.78099999999999,3192.407,202.554,0,0,0.0,38.314,523.0989999999998,0.0,0.0,0.0,0
45,2014-05-01,7.0,0.4,0.8,0.03731409855296445,5458.796000480648,0.0,0.0,96.708,9933.223,3751.748,0,0,0.0,57.04600000000001,442.89699999999993,0.0,0.0,202.552,0
46,2014-05-02,7.2,-0.4,1.0,0.1817380077030812,703.1720004081725,0.0,0.0,29.822,157.96099999999996,29.41800000000001,0,0,0.0,45.74,436.494,0.0,0.0,3.1719999999999997,0
47,2014-05-03,7.4,0.4,1.0,0.2218137298647596,883.2579998970032,0.0,0.0,86.962,1322.4700000000005,0.0,0,0,0.0,36.627,437.165,0.0,6.0710000000000015,44.21400000000001,0
48,2014-05-04,6.8,-0.2,1.0,0.04327761276924563,1968.6810004711153,1.0,0.0,162.032,780.0079999999997,0.0,0,0,0.0,34.334,681.4110000000003,0.0,311.757,0.0,0
49,2014-05-05,6.666666666666668,-1.0,1.0,0.002604166666666669,263.8149998188016,0.0,0.0,0.0,36.584,0.0,0,0,0.0,22.215,204.482,0.0,0.0,0.0,0
