,Unnamed: 0,mood,arousal,valence,activity,screen,communication,office,social,gsm,amusement,system
40,2014-04-26,6.0,-0.5,0.25,0.047178819444444485,0.008132453709840774,0.0018121759259259263,0.0,0.002750277777777778,0.0,0.0,0.0031997685185185193
41,2014-04-27,6.0,-0.8333333333333334,0.6666666666666666,0.00542983716475096,0.02579152777791023,0.008156516203703706,0.0,0.008109849537037039,0.2307692307692308,0.009672916666666666,0.001159988425925926
42,2014-04-28,5.8,-0.8,0.6,0.02225241545893721,0.010008773152474998,0.001420636574074074,0.0,0.005344629629629628,0.0,0.0012634490740740742,0.0014809606481481481
43,2014-04-29,5.75,-0.25,0.25,0.03099614845938376,0.023442569444025,0.01339304398148148,0.0,0.008034791666666666,0.0,0.0012894444444444446,0.0002490162037037037
44,2014-04-30,6.666666666666668,-0.5,1.0,0.034825039929765,0.04628473378165997,0.0369491550925926,0.0,0.006054386574074072,0.0,0.002344375,0.0004488541666666666
45,2014-05-01,7.0,0.4,0.8,0.03731409855296445,0.06318050926482231,0.1149678587962963,0.0,0.005126122685185184,0.0,0.043423009259259265,0.0034636574074074075
46,2014-05-02,7.2,-0.4,1.0,0.1817380077030812,0.008138564819539033,0.0018282523148148145,0.0,0.005052013888888889,0.0,0.00034048611111111123,0.000381875
47,2014-05-03,7.4,0.4,1.0,0.2218137298647596,0.010222893517326423,0.015306365740740747,0.0,0.005059780092592593,0.0,0.0,0.001518240740740741
48,2014-05-04,6.8,-0.2,1.0,0.04327761276924563,0.022785659727674944,0.009027870370370368,0.0,0.007886701388888894,0.07692307692307693,0.0,0.0018753703703703703
49,2014-05-05,6.666666666666668,-1.0,1.0,0.002604166666666669,0.003053414349754648,0.00042342592592592594,0.0,0.002366689814814815,0.0,0.0,0.0
