predict_day,user,window,true_mood,weekday,weekend_day,mood,arousal,valence,activity,screen,communication,office,social,gsm,amusement,system
2014-04-26,AS14.08,2014-04-23-2014-04-25,6.0,0,1,6.2,0.1111111111111111,0.7333333333333334,0.09376765058153919,0.021314081791558387,0.04886947916666667,0.0006301851851851851,0.006957438271604937,0.0,0.00031981481481481477,0.001052033179012346
2014-04-27,AS14.08,2014-04-24-2014-04-26,6.0,0,1,6.333333333333333,-0.05555555555555556,0.6833333333333332,0.06783524798000805,0.01802750386021756,0.04544234953703704,0.0006301851851851851,0.006192391975308641,0.0,0.00031981481481481477,0.00152485725308642
2014-04-28,AS14.08,2014-04-25-2014-04-27,5.8,1,0,6.111111111111111,-0.4444444444444445,0.5722222222222223,0.0269765563846661,0.019042781640166123,0.04325892361111111,0.0006301851851851851,0.006756122685185185,0.07692307692307694,0.0032243055555555553,0.0018093364197530866
2014-04-29,AS14.08,2014-04-26-2014-04-28,5.75,1,0,5.933333333333334,-0.7111111111111112,0.5055555555555555,0.024953690689377552,0.014644251546742001,0.003796442901234569,0.0,0.005401585648148149,0.07692307692307694,0.0036454552469135804,0.001946905864197531
2014-04-30,AS14.08,2014-04-27-2014-04-29,6.666666666666668,1,0,5.8500000000000005,-0.6277777777777778,0.5055555555555555,0.019559467027690642,0.019747623458136743,0.007656732253086419,0.0,0.007163090277777777,0.07692307692307694,0.004075270061728396,0.0009633217592592593
2014-05-01,AS14.08,2014-04-28-2014-04-30,7.0,1,0,6.072222222222223,-0.5166666666666667,0.6166666666666667,0.02935786794936199,0.02657869212605332,0.017254278549382718,0.0,0.006477935956790123,0.0,0.0016324228395061728,0.0007262770061728395
2014-05-02,AS14.08,2014-04-29-2014-05-01,7.2,0,1,6.472222222222222,-0.11666666666666665,0.6833333333333332,0.0343784289807044,0.04430260416350242,0.05510335262345679,0.0,0.0064051003086419735,0.0,0.01568560956790124,0.001387175925925926
2014-05-03,AS14.08,2014-04-30-2014-05-02,7.4,0,1,6.955555555555556,-0.16666666666666666,0.9333333333333332,0.08462571539527024,0.03920126928867377,0.051248422067901235,0.0,0.005410841049382715,0.0,0.015369290123456796,0.0014314621913580248
2014-05-04,AS14.08,2014-05-01-2014-05-03,6.8,0,1,7.2,0.13333333333333333,0.9333333333333332,0.1469552787069351,0.02718065586722926,0.04403415895061729,0.0,0.005079305555555556,0.0,0.014587831790123462,0.0017879243827160496
2014-05-05,AS14.08,2014-05-02-2014-05-04,6.666666666666668,1,0,7.133333333333334,-0.06666666666666667,1.0,0.1489431167790288,0.013715706021513466,0.008720829475308644,0.0,0.0059994984567901255,0.025641025641025644,0.00011349537037037041,0.0012584953703703705
